Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
C. CUMBRES MONTERREY,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,CALLE,HACIENDA PEÑUELAS,6773,COLONIA,RESIDENCIAL CUMBRES LAS PALMAS,64619,19,NUEVO LEÓN   ,39,Monterrey,1,Monterrey,4248,25.73307363,-100.3978311,2010-07
C. ESFERA MONTERREY,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,CARRETERA,Nacional,245,COLONIA,LA RIOJA PRIVADA RESIDENCIAL 2A ETAPA,64989,19,NUEVO LEÓN   ,39,Monterrey,1,Monterrey,2985,25.57637198,-100.2452696,2017-03
C. GALERÍAS MONTERREY,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,AV. INSURGENTES,2500,COLONIA,VISTA HERMOSA,64620,19,NUEVO LEÓN   ,39,Monterrey,1,Monterrey,1629,25.68181474,-100.3559994,2010-07
C. GALERÍAS VALLE ORIENTE,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,CALLE,AV. LAZARO CARDENAS,1000,COLONIA,VALLE DEL MIRADOR,64750,19,NUEVO LEÓN   ,39,Monterrey,1,Monterrey,2468,25.6402986,-100.3165543,2017-03
C. GARCÍA,CINEPOLIS DE MEXICO SA DE CV,11 a 30 personas,CALLE,HEBERTO CASTILLO MARTINEZ,1270,COLONIA,PRIVADAS DE LAS VILLAS,66000,19,NUEVO LEÓN   ,19,San Pedro Garza García,1,San Pedro Garza García,399,25.64863495,-100.3350376,2010-07
C. INTERPLAZA,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,CALLE,JOSE MARIA MORELOS ORIENTE,101,COLONIA,COL MONTERREY CENTRO,64000,19,NUEVO LEÓN   ,39,Monterrey,1,Monterrey,1741,25.66774789,-100.3154293,2010-07
C. LAS AMÉRICAS (MONTERREY),CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,AVENIDA,EUGENIO GARZA SADA,3367,COLONIA,ALTA VISTA,64840,19,NUEVO LEÓN   ,39,Monterrey,1,Monterrey,210A,25.64354655,-100.2872346,2010-07
C. MC ALTEA LINARES,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,Carlos García Rodríguez,502,COLONIA,CENTRO,67713,19,NUEVO LEÓN   ,33,Linares,1,Linares,542,24.86563371,-99.56977194,2014-12
C. MC LA PLAZOLETA,CINEPOLIS DE MEXICO SA DE CV,11 a 30 personas,CARRETERA,"Carretera a Zuazua Km. 3, 5 S/N 5",0,AEROPUERTO,CIENEGA DE FLORES,65550,19,NUEVO LEÓN   ,25,General Zuazua,294,Hacienda San Pedro,056A,25.90697172,-100.1694408,2014-12
C. MC MONTEMORELOS,CINEPOLIS DE MEXICO SA DE CV,31 a 50 personas,AVENIDA,BOLIVAR,1201,COLONIA,BARRIO MEXIQUITO,67550,19,NUEVO LEÓN   ,38,Montemorelos,1,Montemorelos,445,25.19148885,-99.82034353,2014-12
C. MC SENDERO CADEREYTA,CINEPOLIS DE MEXICO SA DE CV,11 a 30 personas,BOULEVARD,REVOLUCIÓN,1103,COLONIA,CENTRO,67480,19,NUEVO LEÓN   ,9,Cadereyta Jiménez,1,Cadereyta Jiménez,621,25.57518373,-100.0035107,2014-12
C. MONTERREY SAN ROQUE,CINEPOLIS DE MEXICO SA DE CV,51 a 100 personas,CALLE,AV ELOY CAVAZOS PONIENTE,101,COLONIA,COL VALLE DE JUAREZ,67289,19,NUEVO LEÓN   ,31,Juárez,249,Valle de Juárez,35,25.64050998,-100.1551969,2010-07
