"Cst_Cnt","Depth_zone","mean_ChlorA","mean_NO2uM","mean_NO3uM","mean_O2ml_L","mean_O2Sat","mean_Phaeop","mean_PO4uM","mean_Salnty","mean_SiO3uM","mean_T_degC","Bottom_D","Distance","Lat_Dec","Lon_Dec","IntChl","Year","Quarter","Water_density_class","Dist_cat"
27311,"Deep",0.0471428571428571,0.00470588235294118,23.8705882352941,3.15823529411765,49.3823529411765,0.0757142857142857,1.84235294117647,33.7965882352941,35.0764705882353,8.75941176470588,4229,-368.2,30.418333,-123.998333,20.5,1993,1,"Light","Costera"
27312,"Very shallow",0.122,0,0,5.672,100.82,0.044,0.34,33.213,2.38,16.096,4018,-328.36,30.751666,-123.331666,22.6,1993,1,"Light","Costera"
27312,"Shallow",0.17,0,0,5.698,100.72,0.074,0.34,33.192,2.16,15.832,4018,-328.36,30.751666,-123.331666,22.6,1993,1,"Light","Costera"
27312,"Intermediate",0.181428571428571,0.0585714285714286,0.657142857142857,5.67857142857143,98.3571428571429,0.12,0.418571428571429,33.1765714285714,2.51428571428571,14.8171428571429,4018,-328.36,30.751666,-123.331666,22.6,1993,1,"Light","Costera"
27312,"Deep",0.0414285714285714,0.00411764705882353,25.8823529411765,2.83235294117647,43.7058823529412,0.06,2.03823529411765,33.8224705882353,37.6411764705882,8.40411764705882,4018,-328.36,30.751666,-123.331666,22.6,1993,1,"Intermediate","Costera"
27313,"Very shallow",0.14,0,0,5.662,100.56,0.066,0.34,33.214,2.8,16.056,4006,-288.42,31.086666,-122.661666,23.8,1993,1,"Light","Costera"
27313,"Shallow",0.178333333333333,0,0,5.71833333333333,100.75,0.0733333333333333,0.336666666666667,33.212,2.61666666666667,15.665,4006,-288.42,31.086666,-122.661666,23.8,1993,1,"Light","Costera"
27313,"Intermediate",0.203333333333333,0.0633333333333333,2.36666666666667,5.59,94.7166666666667,0.148333333333333,0.536666666666667,33.18,4.11666666666667,13.71,4006,-288.42,31.086666,-122.661666,23.8,1993,1,"Light","Costera"
27313,"Deep",0.0357142857142857,0.00529411764705882,26.9823529411765,2.71352941176471,41.6647058823529,0.0628571428571429,2.08470588235294,33.8300588235294,39.2058823529412,8.26176470588235,4006,-288.42,31.086666,-122.661666,23.8,1993,1,"Intermediate","Costera"
27315,"Very shallow",0.132,0,0,5.65,100.46,0.044,0.33,33.1034,2.5,16.142,3843,-248.7,31.418333,-121.991666,21.3,1993,1,"Light","Costera"
27315,"Shallow",0.17,0,0,5.664,100.32,0.072,0.334,33.2476,2.32,15.92,3843,-248.7,31.418333,-121.991666,21.3,1993,1,"Light","Costera"
